comment,label
te3ich lekleb f rousse lemjanine,negatif
il forsa tji kan mara wahda,neutre
svp n7eb nit7assal ala si slim,positif
khanét el fetna wo i3lém el 3árrrrrrrrr wo saháfet el hénaaaaaaa,negatif
ina lillah wa ina ilayhi raji3oun,positif
hahahahahhaahahhahahahah dhaya3t 5 min men hyetii bullshit i had some faith 9olt tawa yaaml haja tasla7 tla3 at3ess,negatif
boul 3lihom mana na3rfouhom men bekriiii,negatif
houuuta lik y a weld riahi,positif
saidi erais plz 3awen tawfik el7ichri w el7akem,neutre
a3tini taref floos 5alinin na3bii kifeek,negatif
mràyédh meskiin ràbii yechfiih,negatif
bravo samir kamel yaser 7lowa l emission w safi saaid est un bon choix,positif
nektoulha lom mte3 omha ejjam3ia bel ta8fiss wel ga3beji o5rej 3le zboubna rakabtoulna essokker,negatif
majber ou 5ouh,negatif
wa9teche yebdaa,neutre
hhh bach temchiyou 10 mlayen w thezou lbachoula w traw7ou ta lha7asrt dhabi far5 lgedafi,negatif
hichem madrid,neutre
ragad yatafaoith ma3a tarajit mathabina ykon fi club,neutre
إنسان منافق ولا يصلح ان يكون في هذا البرنامج مناافق نهضاوي,negatif
raja3 montsar louhichi yousef el3elmi bacem mehri,neutre
bien sûre que uiii dawla,positif
i born in downtown called centre ville ya weldi chbik ye5i tasma3 fi rouhek ki tghani ya ma5lou9 asma3ni li tghani bih anglais ta 1ere année w aka tal7in 3ad ya bel7ram rahom 3amlinek tafrika lbara yadh7ko 3lik tafriket l rap englais ah ya msatek nheb nefhem haja wahda ki tghani haka ma yjikech i7ses y9olek rani nghani b osloub m3afet ti fi9 fdha7t hom twensa,negatif
شنوا وقت بداية فصل الشتاء في تونس ,neutre
malla mandhar a7raf 5iitt 3asbéé7 tga3ééd ma5ibék,negatif
brabi s7i7a 7kayet flay imarat,positif
t3ich ya si slim,positif
bech nejtarrkom ya mwaban hazzetou flouss swag man,positif
seyid slim ena orid an atisil bika wa lam astati3 arjou minka an tasma7 li bil itisal wa chokran,neutre
bitawfi9 ilkol a3melik inchallah,positif
na7i fomek 7oto fi kes wija 3meli chicha bl8ab,negatif
abonne yar7em waldek,positif
ما اجملها و ما اجمل عيونها,positif
ماسط ومن لاخر عورلها برشه و تحل في لعريض و هو شخصيه هزيله موش هزليه,negatif
ahla wasahla,positif
non dhaherli bayrem bch itaya7lek sghir wala ikambaslek fi haja rodbelek,positif
alh yerhmoo,positif
وله محلاهم هاك الأيمات ومحلاها لمت العايلة و خطاب عالباب البشر ديمة يحن للقديم,positif
ina lleh wa ina ilrhi raji3oun alah yar7mou,positif
nsit rou7ek ya dandouk ki thezou t7in slim chiboub 10 snin,negatif
t7inek 4aleb 3laya masra7iya ya rya7i aflem wallah sa7a lik hhhhhh ama tounes 3a fekra akber menek w men 4irek,negatif
sahel w3malnah tawa s3ib lazem na5dhou boutoula bidoun hazima wala ta3adel ntisarat ntisarat,neutre
aid miled said,positif
ekbess yar7em bouk,positif
dinia wallat bil ma9loub wallah,negatif
nentakheb foufa 7obi,positif
karti mta3 9rouda,positif
انا عجبني بصراحة,positif
sousa merda chbik de5el fi 7ittttt,negatif
nchallah lebes mr le president 1 000 000 000 selema 3lik ye ghali,positif
hhhhhhhhhh rahom so9at si slim,positif
mastiin u kamcha ma7ssna,negatif
tibari raw7i hhhhhhhh,negatif
3ala 5ater slim lem3alem,positif
brabi 5admoni rani bech nmout 3la 5edma el société eli nemchilha yraj3ouni chnowa hal 7ala malgré diplomé alah la traba7kom voila mon num ken fama chkoun y3aweni 24058992 pffffffffffff chay yhabel,positif
bay5aa dga3eed,negatif
birjouliya hata inti fehri1 9adech 3a9lik sghir taw houwa ktib haka lezim ma3neha ta3mil minha hkeya ti ken tis2il kais saied taw y9olik ma3andi hata mochkol,negatif
il maillou mte3k mnin svp,neutre
chkoun ytfrg aout 2019,positif
b9itou tbi3ou fil klem,negatif
ytirr aka il mhssenn,positif
saidi erais chaje37om,neutre
e5dém 3ala rouhék wou bonne continuation wou inchalla tt va b1,positif
brabi kedech hez men titer momken fel houma,positif
si slim wacil rabi ma3k,positif
alah akbarr alah yar7mou,positif
hethi ghnaya,negatif
y a 1 an jt en tunisie,neutre
7atta ba3d linti5abet mich bich yitbaddal chay bich nal9aw ennahdha et nidé tounis wil 3arka hiya hiya,negatif
si slim brabi khald elkorbi laaa hawl m3a wisam yahya si non alxise,neutre
hhhhhh wild milaarder mcha ya9ra llbara ehhh achfehha w ness lkol sa7a sa7a ti billhi tlhaw bil dommar illi 3aychinou w yziw bla tal7is,negatif
rani nheb al musique al tunisienne,neutre
hhhhhhhhhhh awelhem slin riahi hhhhhhhhhh,neutre
te3ejebni pourtant menich min enahdha mra b100 rajil y,positif
hram walh mel lekher,negatif
7am9a zok omk l9a7ba degage 3la zebi jomhoure lclub dinar dinar nosrfou 3la jam3yetna 5 mlayen ranna fi tounes fi9 nayek 3la wadh3ek rak makch a7sen ra2is chadit lclub chadna lasrém w 7amouda ben 3ammar haazina titrouwat denya lkol fi9 nayek,negatif
arajolo el mounesib fel maken el mounesib,positif
Raw3a raby ya3tik ajmal imraa,positif
patron ki techri l équipe lokhra joueur bidoun manasm3ouch bih wel média méta7kich 3lih amma ki yosdof oskot barka twalli dharbet m3allmiya wwwwwwwwwww yraoddouh messi éch 3lina amma ki le club africain walla el patron elli howa inti techri joueur baz tet9leb la7keya twalli gaspillage flouss t9oul houma 3tawhomlek w twalli démonstration musculaire raddouna bandiya wwwwwwwww wa9t elli ghatsine fel khmaj éch 3lina je suis convaincu bel projet mte3ek bdit nef hem wine t7eb twassel le club africain ma7lek ya slim ya patron forca ca,negatif
mal9it mata3mel f rou7ik hahahh wala ta7it cota theb ta3mel chwaya beuzz chta3ref alih scobar,negatif
فيماذا يتم الاتفاق بين النادي التونسي واللاعب حول شروط الانتقال  ,neutre
well done,positif
hhhhhhhhhhhhhhhhh ennes el koll wallet sawtet l cpr tawa,neutre
konet ta3jebni baby face w met7ajba w wa5thetek modèle manich neda5al f 7oritek ama 3matli une grande déception allah ghaleb nghir 3ala dini w eli 3maltou isa2a ena nraha lel met7ajba w y2asafni kif nchouf bnet a c point imenha dh3if w tousel w tarja3 t3ari ch3arha mafama 7ad parfait c vrai ama n7awlou dima bch no9rbou akthar w nefhmou dina akthar mch narj3ou betweli rayi w 7abit n9oul w enti inchallah rabi yehdik w inchallah rabi m3ek f eli ta3mal fih,negatif
hhhh blida lbarcha nabara,positif
mouch houwa yetze3ben enti l tetze3ben 3line hedi wabne,positif
bsara7a ma7leh l clip 3alle5er 3jabni le maximum la7keya mta3 la8néya 7asitha réel w l couple réel aussi mais chtar leklem mahouch mafhoum,positif
ti maw yta7noulk 3la flousek echa3b tounsi may7b 7ad y7eb ken masla7tou,negatif
allah sla3a,negatif
ena bidi kolt haka,positif
rayes nestana fik bech tetkalem fih el mawdhou3 hetha eli sar fil 9oba mech nrml,neutre
akbar mounefa9,negatif
zeblaaaaaa tabba3 fi manel 3mara,negatif
خخخخخخخخ,neutre
dirab tones l9a7ba w zabourom l3bed li kifek nektou rabha tones,negatif
alah ybarek fik ya ali wfi sahatek wfi daritak nchalah rabi yarzakni betfoul kifek wansamih ali rabi mahakoum wotanjah alhamaliya wlabase aljazayar koulha tadhilkoum,positif
toop kafon lghali,positif
kushan kannangara,neutre
lichkon bich ybi3ha,neutre
nist5ayelha chada baco rayeb,neutre
ya rabbi,positif
fama madersa min asla hi dégage jaloula,negatif
مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط مااسط,negatif
alayhi salat wa salam,positif
le prochain ben ali,negatif
5alouhomm ye7kou rahom ma9hourine ti chbiik raw labeshom zouz kbabet el ragued wel chalgouma el zwaghiii talafhom bel bheyem ezouz w mba3d 7chehoulhom w jebelna samba sow personellement aucune comparaison m3a ragued w zwaghii ytiir bihom tirane ya 5antouchh el 7laybiii junior el capo w hathika lwath3iaaa yaliii 9harkommm w rakbelkom esokerr fel siiff ya m3afnine tari7kom el kolou rachway w ser9aa w 9albene jeyy ta7kii 3al ria7ii ya 5amejj yechriik entii wel medebb w stade el manzah m3akomm w beflous el gadafii a a5ralouu fiiihh flous el gadeafiii jayebhom lel medeb bech wel sorre9 li kif el medeb bech ya5ralkom fi kifkomm 7sebkom 9riib ya 5bozz,negatif
gdwa curva nords curva sud solidaire bech nikou swa7lia,negatif
Ya hasra milli mchat maya hal barnamij walla masit lassit,negatif
wen wlad mofida,neutre
klay dima nstnaw f feat m3a moro,positif
klemek hedhÃ© me 3ad ynfa3nÃ© fi chey saben ezit 3anar tounes lÃ© yete9ta3 lefsed welÃ© elma7soubya lÃ© erachwa lÃ© lem3aref lÃ© etechwih se9ou fidman bark iwarik elweylet,negatif
خدمتك اليوم، تعبك اليوم، هو طريقك للحرية، للكرامة، وللي تحلمين به En voir plus,positif
louled jaime fil page bilehi,neutre
ca va louled,positif
kol 3am w enti 7ai b1000 5ir,positif
jaded ldjabø,neutre
koli sanna wenta tayeb,positif
taw jat akbar anou nahda ihtalit 65 nas kol intakbit nahda fi karij yaka mat3almouch mili 3amlato wakt chado hokm yaka shiha lahkaya wfi dakil tounis fama achkas min nahda ydoro 3la diyar wya3tiw fi flos li nas wyakdo fi nwamir bitakat ta3rif bech yintakbo houma fi bok3it nas li nahda wgalou mahda hiya ili bech tirbah lintikabét jawbouni shïha lahkaya,neutre
hmd 3la slametkoum w 1000000 mabrouk,positif
patron allouma,positif
et alors brabi fi9ou l7al echa3b lbara el i3tissamat wel idhrabet je pense wallito ta3mlo bel3ani,negatif
ma3naha enti 5amja w fasda puisque konti te5dmi faha,negatif
rayouuuuu stunner,positif
hhhhhhh zantor y zantor cab al ajdare l playoffs hhhh,neutre
attaquant hetha,positif
sketch yanje7,positif
amana ca ya si slim,positif
walit t5aref taw ya slim,negatif
ech ta7chu fih,negatif
heya mch mezyenna o ma3andhech thi9a fi rou7ha khater ken jet 3andha thi9a fi rou7ha matetghachech heyaa khater ta3ref rouhha mch mezyenna,negatif
bellahi sayeb alik men rik issyasa w roasa ta3mel fi khitab yekhi,negatif
aaa yaaaa slim lwabna leclub akbeer mnk donc okhrej menha ykharej rohek trakhes fi rohek aala ghir chy en plus aameli feha tefhem fel koraa w ente chgelou rjel,negatif
شكون هادو,neutre
mela hala,negatif
kolkom walitou ti3bdou tounsia w ila 5dhitouha waf9a rana mikom la tanssawna,neutre
أكبر غلطة عملها سامي الفهري,negatif
hahaha manfa3et m3ahom jeme3 wou 9obba 5dhra fil park ye5i mchee 3mal 3omra rabbi yet9abal ken 3ala neyet el 3omra,negatif
happy birthday ya m3atheb lkol,positif
sallimli 3la riyadh bannour ou samma3ni salem tzzt,neutre
bn annèè yè patron,positif
congratulations too crazy erkyz,positif
si slim tkadem rayes hokoma w nahna m3ak,positif
kol elwou3oud,neutre
hhhhhhhhhhh awelhem slin riahi hhhhhhhhhh,neutre
grp el dance ma7lehom walah,positif
inchala 3lee ydik enn7ejou,positif
taw mech el tigani ga y3adi 3an sliman,positif
اسم الموسيقي في اول الفيديو واشي هي 😥,neutre
ena bech nenta5eb echeyeb baba psk yefhem f siyesa dima m3adhebni bel jazira hhhhhhhhhhhhh,positif
inchalah betawfi9,positif
merci a toi slouma wala rabi y5alik lina,positif
bara nikoo matkomm hh selim riahi far5 chkoun hh,negatif
rabi maak ye slim president en challah,positif
flous seyeifel gadeifi kein beiche slimeeyokteil beiha etweinsa bech yekaser beha ifaawera,negatif
ili mech 3ajbou léquipe mta3 riahi yemchi 3la rou7ou wisakit fomou men fou9ha w may7ebech lclub ljam3iya taw bdét w fama barcha 3bad nabara bdaw inabrou whouma ili hilkou ljam3iya w nchok fihom mkach5in zéda ili i7eb lclub yé9if m3aha mech inabar,negatif
rabiiiiiiiiiiiiiiiiiiii m3ek w meni nessi,positif
barra nikom mab8mekn ti 3asba t9oul ghaadafi bis,negatif
ملا فن و ملاّ عفن 😏,negatif
فنان معقد برشاا,negatif
rami m3ak,positif
si slim na7na m3ak madem m3 jam3iya amma telhelna b hand w basket 3aychek w y5alik w y3alik 3la mn y3adik,positif
te7ki tgoul 3lik inta ili 3titou lebrikia ili cha3l biha rou7ou,negatif
walhi hath oma rjal,positif
ye mhasen heyy,neutre
akther wehd nakrhou howa slim riehi,negatif
rabi im3ak batron,positif
Allah lé tar7mou wahed kalb,negatif
invite plzeeeeeeeeeeee compte jdid,neutre
awel mara ta3jni ghneya mta3k,positif
a7sein haja fik enek moutroubi joumhour lifri9i fa5our bik ya king,positif
alber kalab inta,negatif
rabi ifadhel houlna,positif
ya m3lyaa,positif
enchalah mayajrach kif 3amnewel,negatif
الشيب ول عيب,negatif
oumourk na eb3edni,negatif
chemse d un bacha chbabe 3likoume les deux,positif
sami berrasmi tu aime cette page,positif
hhhhh khenha thre3ha guelet sa7rouni,negatif
rabi titkabil tistahil,positif
aidkom mabrouk khouya slim,positif
makanche sot,negatif
billahi sayebna oubarra zahhiz mili jit inta t et alhamdou lillah qalou slim riahi,positif
boy w i love you yousr,positif
solidaire m3ak hamza rabi yechfikk,positif
tablou w zakrou la3rousa bentkom w l3rous weldkom w entouma ferka hasilou tahya dimos cratos w chafafya wel hadatha w tatawer 3maltou riha bel horya,positif
raj3ilna djaaabbouuuu,neutre
ou bech tjibou 1 fi devoirat,negatif
wa9teh tahbet il 8ouneyaa,neutre
vraiment ibda3 3 men a7san l artistouat fi tunis 100 hardwork,positif
e7ki 3ala 7ezbek yamsatek wenahdha dima fel3aleli,negatif
wallah ya ja3four kan tchid ra2iis dawlla tunis twali dubai birasmi,positif
فعلا مخيفه,negatif
inchaallah labbes,positif
see yo9toll,positif
je t aime nidhaloo,positif
hhh wallahi rajil,positif
fi tunis kol najeh nehsdouh,negatif
rabi yerhmou nchlh w ysabrek,positif
9addech 3maltelha men we7ed hel 9a7ba li m3ak,negatif
gorgeous as usual,positif
finou jebali bech yasstakil houa willa wali siliana,negatif
ki houwa mnayyak 7attna fi tv lach,negatif
قذارة و تفاهة و سخافة من أنتم ؟؟,negatif
salem si monsof t9abelna mara fi ben ghazi lybia 9otlek enhar hethka kelma wa7da alaho akbar ken tfakartni jewebni 3andi man9olek nchalah tasma3ni,neutre
وجيهة الجندوبي وين ماشية خشمها يقوس عاد قريب تولي ببغاء,negatif
hhhhhhmenchi5o a3likom,positif
e3hi elkleb fi ros el emjanen,negatif
hatten baratli cab,neutre
rabi yefadelhlik w tawel f amour7a,positif
brabi zid chouf m3ahom ihebouchi ihezouk wzir bahdhehom kammel hellelhom machekelhom el kol sur place,positif
vous etes entr,neutre
oiu tawa fhemet a3lech saloma chad leclub,negatif
7amdelha 3la slemtek samsoum,positif
alah l trabahik ya masa5,negatif
chnaya hal bhéma hédhi,negatif
voleur voleur,negatif
hhhhhh 3ajebni,neutre
déjà heya mta3 el malehii elayleya khw raw,negatif
san3et lma3ando san3a hhhhhhhhh mala 7ala ti brabi enti 3ayech fi denya o5ra hargek 3lina la7lib,negatif
5tr ma te5demch masal7ek ma 3ejbatekch koun sari7 w wadha7 m3a nafsek and confess,negatif
5sartk 3amal eh,neutre
no youtube 24_25,neutre
slim 8 howa lkol,positif
ithaken zaweli yo5zer lel zaweli le5er taw tet7al el azma el ejtima3eya,negatif
slm el 7achto b code planet fixed prvé madhmoun,neutre
wala3ha wala3ha cha3e lha cha3e lha,negatif
inchallah tabka daiman wafi lkoli mabadiek liani amanto biha,positif
waktech yibd el match ana fi 3omen w mabinetna heures win bech y3adiweh,neutre
raja3 monta,neutre
allah yarham weldik ya poutine voila le comondos,positif
si slim dima wrak forza ca mais svp écartez koubaa and cie merci,positif
rabi ikaliiiiiiiiiiiiiik linnaaaaaaaaaaaaaaaaaaaa ya agla wahed fi el alaaaaaaam,positif
contre moez mzali za3ze3 imed riahi et raouf ben samir,negatif
7echa 5li9it rabby,negatif
famachkoun enti howa etefeh ya sel3a,negatif
m3lm walh,positif
cheh hhhhhhhh bravo miss,positif
Oui 3alemiya 😚😍😘💕,positif
salim riahi ken 3indo fb yeb3thli invit,neutre
wael harrek wechrayek,neutre
ana era haseb rayi esou3oudia bidha el hal werabt,positif
hhhhhh hhhhhh hhhhhh,neutre
hhhhhh akhwo,neutre
wel chtih eli 3amelo el tunisair fe terikh el bacharia ?,neutre
mn annaba la casa awel commentaires,positif
harkati chbiiiikkkk,negatif
pff gadekech tefehe ya mo8ete,negatif
mahleek hannen bravoo,positif
la tochkor la t them,negatif
slim stp sakir ha elpage w akhdim rabi y3inik w elkhidma rahi fi birouette mouch 3la fcb fama ness matistahilich hob ejam3iya mouch bech tchawirha fi recrutement walahi ken tjib messi ygouloulik hay etaraji chret erregued w zwegui ya wledi ken jet elbouma taslah,neutre
mabrouk lelclubistiya kol wenchalah kol 3am haka merci si slim,positif
3idek mabrouk mr president,positif
negolak 7aja rabi ma3ak amin,positif
Mase5 w 5amej enta w cheltek tfouh 3likom f sedi romdhan mal9itou matjibou,negatif
تستدعاو في توفيق الغربي لواش ؟؟,negatif
thawra 3amlouha echabab wrekbet 3liha la7zeb,negatif
ilove you g,positif
mahmoud boughzela,neutre
hahaah au moins khir men bayreem c est la honte,positif
iji nhar we yandmou nbara hadhoma 7ata homa matansin bal fa9er mizirya nsa man 3am 1996 lala 3am 2008 mahazouch 7ata botoula 12 ans,neutre
mazal mazal,negatif
harime essoltan 2 2,neutre
emcha ebroujla men loul wemba3id ebda yeba3bis,negatif
ايكب سعدك يا قطعي يا وبش يا وخياني اش نكرهم جماعة النهضة,negatif
taslim mojrim jarima,negatif
yarani manmoutech al9ali 7al ya benti fi casting,positif
li jey men live khanchour ya3mel like,neutre
sa77a ya m3allem,positif
ye5i sami eli fehri ma ya3rach eli houwa mahouch mta3 talfza yeeser maset w mandhrou mahouch mta3 talfza w mahouch alaise w mahouch naturel,negatif
afdha7 l kwazi ystehlouuu,negatif
enchallah mouled mabrouk saiid 3lik w 3la toute la famille,positif
mabrouk litounes bel halfouuuuuuuuut,positif
3idek mabrouk si slim wsnin dayma,positif
allha yechefih,positif
aid idhehaa moubareke kolle aame wa anetaa bi khayere wa aafiaa,positif
hazem bejaoui,neutre
bravo slouma chapeau bas one family big love fri9i tlem nes lkol,positif
maher haddedi w yahia yassine chikhaoui choufelna attaquant e5er w pivot,negatif
tabrkala a3lihe,positif
l efri8i ansew7a ew rodou a3le7a etrab kima ensetou ben ali,negatif
Pff mamsto ysaber oumo,negatif
bn annifff slouma wkol3am w enta m3adhebhom akthar w btoul l3mor nchlh,positif
félicitations ytrba f 3izek nchlllhhh,positif
selmi mohamed zok om idk ba3dha,negatif
bahi barcha belahi jaoubouni achnia lhal taou,positif
ba3id ta7anit banour r s h ou chekri il wa3ir min barek a,negatif
a3toni fb si moncef svp,positif
inchalah dima ziiiiina ya sliiiiiiiiiiiiiiiiiiim,positif
entyyy miboun wzid ta3bed fel chtan tfouh 3ala 3os om hak lmandher wala mat3rfhech kima daap,negatif
ili fi yedo 7jra ilawa7a sekna fina,negatif
bravo bbj,positif
Ja3four ma7boub el twensa ♡,positif
gati big up,positif
alkilabou tamba7 wal4alya wamya wetjik lamya ya5rou fih mela5er,negatif
téhshélna fi djabouuuu ya slouma sayéé,negatif
enchala labess hamzooo,positif
kol wa7éd 7or fi nafssou et ya3raf massla7tou,neutre
tfouh 3lik we 3la nabil ma9rouna m3ak ya ta7an,negatif
vive vive slim riahi 888888888888888888888888888888888,positif
bienvenue mamouuuuuuch,positif
slim ya ma3alem el rejal tekseb wa ta7ana te7seb galou felous el ghadhfi walitou rajala te7kou 3ala el felous ti winha fous chiboub el sareg el kebir winha flous el trabelsia wa flous ben ali rabi ma3ak ya slouma wa toz fi moez ben gharbia la7as ben ali wa toz fi haka lagra3 el wertani,positif
انا ما فهمتش شنوة هالقذارة لي يسمو فيها راب بفف,negatif
rabi m3ak test7a9,positif
raj3ilna djabou ye m3alim bech twali ilfar7 x 2,neutre
rabi yet9ablou bra7mtou lwas3,positif
bahi s7i7 aw ma3goul ama kif emsa5fek ettounsi wenta 3atik rabbi min 5irou ti a3mellhom 7aja mathalen 7il marchi el bi3 fih blach rebe7,positif
allah yarhmou wenaamou,positif
de quoi il se mêle ce slim riahi,negatif
malgres el covid 19 wnes mazelet ta3mel fe char rabi ey7aseb rahou en plus les comentaires emte3 eklem ezeyed 5aliouh fi diarkoum hedeka osloub emte3 ta5alof,negatif
rabi ychfih wykoun m3ah,positif
a7la matnajem tra bin lbou w bentou ma3azkom,positif
echaeb elkol maak merci slim,positif
anta 3ala7ag wafagakom alah,positif
reaction 3la track,neutre
menzel bou zelfa hhhhh,negatif
si silim si slim d lol,neutre
se7li w nakrah le fri9i hhhh,negatif
le nabbara ya3n zok omkom wahed wahed,negatif
slim iariahi slim iariahi slim ia raiahi jibilna bagded bounjah,neutre
lmohem nchalah marbou7a lioum w merci slim,positif
Anis anis,neutre
style zbar,positif
bi1 dit bi1 di bi1 dit foi kima y9oul mr le president tartour marzouki,positif
coufience total cent pour cent monadhel kabir bidoun mounazei,positif
bravo il kolna m3ak nchala tozdo9 barka si no bich t thaya3li ahla 5 snin min 3omri aman hot rabi f belik rabi m3ak w yatik ala 9ad niytik,positif
leflous temchi w tji wma to93od ken,negatif
m3allim wa7na m3ak nchallah ba3d 5 snin nberkoulok ye rayis min tawa,positif
في كلمة واحدة أبله,negatif
like u houni,positif
5amsa w 5mîss,positif
chokran ya slouma,positif
nchallah ya3ti l li ca,neutre
washbikom walito tkharjo hadek che3ar man turban hadi mode jdida wala kifah,negatif
bravo si slim c est bien ça,positif
hhhh belehy barra hot sob3ek fii termtk 5iir,negatif
ahla jam3iya caaaaaaaaaaaaaaa,positif
Masekh,negatif
hesi khir 3andoura,neutre
me tetrabbach ye sami tabala,negatif
مريض بمرض اسمه النهضة_x00D_,negatif
3asoula barhouma,positif
kn famma crédit n7éb na3mal projét tw njib wléd blédi lkol yénta5bok,neutre
mabrok ye m3allem,positif
7amdoula mr marzou9i wallah 9bila 9olit caye ma3adich bech ntaba3kom w j ai ete decue barchaaaa hmd ki mataba3touch el nahda khatirhom monef9in w bonne continuatin mr marzou9i,negatif
mabrouk w nchallah twa9af fdhaya7 elli ta3mel fihom taraji que ce soit 7kayet arbitrage walla hakel federation el 9a7ba,positif
saidi al ra2iss lé tansé limetha inta5abaka acha3b w rajé2 an lé ta7ida 3an mabéd2aka w 9yamika alati 3ahedneha fika kana allahou fel 3awn 3la mé fihi 5ayrou tounes,negatif
