id,text
94.0,Bravo pour les efforts ?? just un peu de srieux la fiabilit
95.0,8 annes m3akom w mazelni nchki fi rseau
96.0,Offre kif kif like les autres oprateurs. Pas de diff
97.0,???? ??? ping ?????? ?? ???????. 130ms ???
98.0,N7eb nbadal labonnement w nafs l mchkla raja3t
99.0,Yhazikom barcha 3likom Taha
100.0,Application dowload bata9a? ta7el wala
101.0,Fama 3aradh 3la les appels internationaux? n7eb nchouf
102.0,???? taw nraja3 les donnes perdues? zid wala?
103.0,"Wallah barcha 7keyat fihom, ama n7eb n9olkoum 5edmekom behia mil b3adh"
104.0,Site mta3 topnet.tn mch yekhdem 3la firefox ??
105.0,Rani nchki min ghodwa? service client mrigul b 5lef 9al
106.0,Taw 3andkom 5G? la ama test 7essit far9?
107.0,Wallah khatemni 3ala5ater faza mta3 ra9em mta3i matnajamch n3ayech
108.0,N7eb nrajja3 modem fibre. Kifeh procdure?
109.0,Offre 'faza' b 10dt 50go? sara7a mrigula
110.0,10 ans m3akom. wallah lvolution 3adhma
111.0,???? ??? ?? ?????? ??? ?????? ?? ???? ?? SMS
112.0,Pourquoi les forfaits postpays nont pas les mmes avantages ?
113.0,N7eb nes2el: 5edmetkom ta3tini priorit? non?
114.0,Cest bien mais le prix reste lev pour le tunisien moyen ??
115.0,Lappli stabilit zeda behia w nchlh tzid
116.0,Mabrouk 3likom topnet 3la loffre. en tt cas mrigul
117.0,"Barcha nchkiw 3la network ama n9olkoum 7aja, teledeclaration sarii3a"
118.0,N7eb nchri forfait 50dt chahri. win najm?
119.0,Wallah 3ejbetni service de lenvoi de code par mail
120.0,Code *101# affichili solde zeda mouch win? 7alou
121.0,Linternet fixe mta3 topnet fibre ytayyar f lil!
122.0,Sale priode ya topnet. Serveurs ta7in koll chwaya ??
123.0,Bravo 3likom 3al rapidit de livraison des cartes sim
124.0,"N7eb nkoun m3akom fidle, ama ta3bni rseau"
125.0,"Offre double data 7ilwa, ama ylzm n7eb n3ayech"
126.0,nhar kamel nchki wala 7al...
127.0,"Taw n7eb n3amel transfert de proprit, kifeh?"
128.0,Sms b 250 millime? ghali barcha
129.0,Yhazik l'offre nhar l3aml b 10dt 30go mrigula
130.0,Pourquoi lapplication est lente sur iPhone? Android temchi mrigul
131.0,N7eb nkamel contrat fibre optique ama temchi l site t7elch
132.0,Rani nchki 3al facture zeda zidoulna 5dt 7seb ro7hom ??
133.0,Soutien technique mta3 Topnet fi tounes tnajam tnajem
134.0,??? ??????? *101# ????? ??? ???????
135.0,Offre 3al 9raya mrigula merci topnet
136.0,"Wallah 5edma wahcha, na3ref chnawa n9oul"
137.0,Merci 3ala livraison rapide w preparation mrigula
138.0,N7eb nchouf offre jdida kima fel 5G barka
139.0,Taw 9a3ed n3ani m3a les donnes consommes mrigul
140.0,Code activation 5G yekhdem 3la 9alil? jarabt w ma5demch
141.0,"Belle initiative les points de fidlit, merci"
142.0,Rani nchki 3al service mrigul w bara
143.0,"Jai test la 5G dans le nord, rien de spcial"
144.0,N7eb n3ayech 3al offre family. tnajam tzid info?
145.0,Site mobil mta3kom mouch responsive 3la tablette ??
146.0,Offre 3andek 7keya behia: tarif appel local moins cher
147.0,"Merci ya Topnet, rseau ta7 3la ro7ou wahdha ??"
148.0,"Yezzi, ne5dem m3a code *101# b 5lef ma nchki"
149.0,N7eb nkoun fel blacklist mta3kom? taw nchouf
150.0,Lappli mobile mrigula mais taw tzid tet3aml b chte
151.0,???? ????? ?? ???? ??? iMessage ?? ?????
152.0,Taw 3andkom offre 3al smartphone? n7eb nchri s7ab
153.0,Nchlh ghodwa rseau behi w nkounou mrigulin
154.0,Win service client? nandhom yraddou 3la 9alil
155.0,???? ?? ?????? ?? ???? ??? eSIM ??? ???? ???????
156.0,Wallah khatemni 3ala5ater nchki marra wala 3adi
157.0,Offre taw mawjouda b 30dt 100go? test7a9
158.0,Merci 3likom mais awel marra nchki 3al problme de vol de crdit
159.0,"Yhazik ya Topnet tounes, 3aychek 3al 5G fel manzah"
160.0,Appel mta3 service client 20 minute w ba3d ytayyar 3liya ????
161.0,Taw 3andkom mchkla fel site? matnajamch t5ales
162.0,Offre double appel 7elwa mais rseau mrigul chnawa?
163.0,N7eb n5ales b credit card ama page ta7
164.0,Rseau 4G fel centre ville 0.5mb/s w n3ich fi 3asima
165.0,"Bara 3likom 3al quipe support, y7elou mchakel b sarii3a"
166.0,Pourquoi le forfait data y5als 3la 5ater ma yjaddidch
167.0,????? Topnet Tn ???? ???? ?????? 5edma zayna
168.0,Code *102# mta3 service solde yekhdem wala?
169.0,"N7eb nshouf l'historique mta3 consommations, win najm?"
170.0,Khatemni l'offre weekend b 5dt 20go mrigula mil b3adh
171.0,Service client y7awel y3awn ama so3ouba fel lugha
172.0,Mabrouk ya topnet 3al nouveau centre d'appel
173.0,Rani nchki nhar kamel fi l mchkla mta3 facture
174.0,Wallah 3ejbetni 5edma mrigula w nchlh tzid
175.0,"Offre ""Famille"" 3ejbetni, 5alasna 3liha"
176.0,???? ??????? ???? location 24/24? khaf m3aya
177.0,"N7eb n3amel portabilit depuis ooredoo, win nmchi?"
178.0,???? ????? ?? ???? ??? MMS. ?? ?????
179.0,"Taw n7eb n5ales facture sghira, balak khatemni"
180.0,Pourquoi les offres sont meilleures pour les nouveaux clients?
181.0,"Yhazik rseau fel aroport tounes, 3aychek"
182.0,"Mrigul ya topnet, mais taw tzid tet3aml"
183.0,Code *777# l'offre ramdan mazel mawjoud? n7eb n3amel
184.0,"Barcha nchkiw 3al prix wala service mrigul, 5tar l kayen"
185.0,N7eb nkamel 5edma 3al fibre w ma3andich modem
186.0,Rseau yekhdem 3la 9alil wala? tawa ytayyar
187.0,Soutien technique zeda 7keya: y7awlou y3awnou
188.0,"Offre 1dt lel sms barcha ghali, 3lech?"
189.0,???? ???? ??? VoLTE ?????? ????????? ????
190.0,"Mrigul service client fel chat, raddou sarii3"
191.0,"N7eb nraja3 carte sim li talfet, win najm?"
192.0,3ayech ya topnet mais rseau ta7 f lil
193.0,Khatemni l'offre taw b 15dt 30go w zid 5go
194.0,"Wallah 7ata klem mafamech, service mtayar"
195.0,Appli mrigula mais 3andha bug fel notifications
196.0,"5G test fel lac, wallah 600mb/s ??????"
197.0,Pourquoi loption data rollover mawjouda 3and l'competition?
198.0,"N7eb n5ales bil facture lectronique, win taw?"
199.0,???? ?? ?????? ????? ????? ????? ??? sms?
200.0,Yhazikom 3al offre fibre 100mb/s wallah khir
201.0,Taw 3andkom mchkla fel rseau gnral? barcha ychkiw
202.0,"Mabrouk 3likom, nchlh dima tzidou"
203.0,Rani nchki 3al rechargement automatique yraja3 yekhdem
204.0,Offre 'Intense' 3ejbetni 7ata ken ghaliya
205.0,"Service client yreddou 3likom ba3d 5 minutes, mrigul"
206.0,???? ?? ?? ??? ???? ??????? ???? serveur ta7?
207.0,"N7eb n3amel rsiliation w nrajja3 flous, est ce possible?"
208.0,"Wallah 3aychek ya topnet tounes, 7ata ken 3andna mchakel"
209.0,Taw l'offre jdida 3al 9raya 7elwa barcha
210.0,"Appel vocal ytayyar wa9t nkoun fel route, 3lech?"
211.0,N7eb n3amel mise  jour de l'offre ama site mta3kom ta7
212.0,Khatemni service mrigul w 5edma behia nchlh tzid
213.0,Pourquoi les forfaits prepays n'ont pas les memes avantages?
214.0,Code *555# mrigul w yekhdem 3la 9alil
215.0,"Yhazik ya topnet, ama a7na n7ebou nchouf tawa7ed jdid"
216.0,Rani nchki 3al 4G dha3ef fel matar
217.0,"Offre ramdan mrigula wallah, 3aychek 3liha"
218.0,???? ?? ?? ???? ??????? ???? ????? ?? ??? APN?
219.0,"N7eb nchouf facture dtaille, win najm nal9aha?"
220.0,Belle initiative les apps gratuites avec le forfait
221.0,Wallah taw n3amel menace nra7el lel autre oprateur ??
222.0,"Mrigul service, merci ya topnet"
223.0,"Offre kima fel 3oudh, 5edma mrigula mais prix zeda"
224.0,"N7eb n3amel chkaya fel site, formulaire matlouch"
225.0,Rseau fel mahdia zeda yhazik? chbik ya topnet
226.0,Taw 3andkom offre 5G fel sahel? 7ata nchlh njarab
227.0,Pourquoi le service client ferme  18h? 3bed ta5dem
228.0,Mrigul code promo w n3abbi ra9mi merci
229.0,???? ?? ?????? ??????? ??? notification b l'arabi?
230.0,N7eb n3amel recharge automatique w ma3andich compte
231.0,"Wallah 3aychek ya topnet, ama rseau b l'extrieur ytayyar"
232.0,Taw jdida l'offre 10dt 40go? test7a9 barcha
233.0,Khatemni l'offre de bienvenue b 5dt 10go
234.0,"Appli ta7eli wa9t ma n7eb n3amel paiement, n3ad 3la ro7i"
235.0,Rani nchki 3al lenteur fel fibre wala 9alouli 100mb/s
236.0,"Offre double data fel weekend, 3ejbetni"
237.0,N7eb nkamel 3ala service de redirection d'appel
238.0,Service client zeda sarii3 had l'poque
239.0,"Mabrouk 3likom 3al amlioration fel sud, choufna far9"
240.0,Taw 3andkom code mrigul lel roaming?
241.0,Wallah n7eb nkamel m3akom 5ater khatemni service
242.0,Pourquoi les SMS publicitaires mriglin w les notifs persos non?
243.0,Code *999# maykhdemch m3a l'offre jdida
244.0,"Rseau ta7 f lil 3la 9alil, n3ich fi manzah 6"
245.0,Yhazik support technique y7el 3liya mchklet 5G
246.0,Offre taw njarbouha nchlh nkounou mrigulin
247.0,"N7eb n5ales b dop, win najm n3amel?"
248.0,Bravo 3likom 3al 5edma fel agence centrale
249.0,"Mrigul wallah, 3aychek ya topnet"
250.0,"Rani nchki 3al vol de crdit, 5serna flous"
251.0,Offre kima fel 9bal ama taw 3andha 7aja jdida
252.0,Pourquoi le forfait mobile illimit ytayyar ba3d 30go?
253.0,N7eb n3amel 7keya mrigula 3al 5edma mta3 app
254.0,Service client yreddou 3la 9alil ama 7al ykoun
255.0,???? ?? ?????? ????? ????? ??? latency ?? ????????
256.0,"Taw n7eb n3amel transfert de compte, win najm?"
257.0,"Mrigul l'offre famille, wallah 5edmetna"
258.0,"Khatemni service de livraison, merci"
259.0,"Appli taw t5rj w t7eb tsaker ro7ha, 7awelna nraja3"
260.0,"Rseau 5G fel mourouj 3adi, mouch kima y9oulou"
261.0,"Wallah 3aychek ya topnet, ama zid chwaya fel 7al"
262.0,"Offre 1dt appel illimit fel weekend, sara7a mrigula"
263.0,"N7eb n3amel chkaya 3ala facture, formulaire ma yekhdemsh"
264.0,"Yhazik ya topnet tounes, nchlh nkamlou m3akom"
265.0,"Code *222# yekhdem 3la 9alil, ama marra ytayyar"
266.0,Pourquoi les recharges par carte bancaire prennent du temps?
267.0,"Mrigul wallah service client, raddou 3liya f 10 minutes"
268.0,Taw 3andkom 3aradh 3al fibre? n7eb n3amel
269.0,Rani nchki 3al modem mta3 topnet ytayyar f l'heure
270.0,"Offre weekend 20go b 8dt, 3ejbetni barcha"
271.0,???? ?? ?????? ????? ?????? ??? ping ???????
272.0,"N7eb nchouf offre jdida lel tudiants, win taw?"
273.0,"Khatemni service mrigul, merci 3likom"
274.0,Appli mrigula ama taw tzid tet3aml 3la ro7ha
275.0,"Rseau fel tunis centre 4G yekhdem mrigul, alhamdulillah"
276.0,"Wallah n7eb n5ales b chque, ama ma y9ablouch"
277.0,Offre taw b 25dt 80go? nchlh n3ayech
278.0,"Code activation roaming ma yekhdemsh, 3lech?"
279.0,Pourquoi le service client n'a pas de rappel automatique?
280.0,"Yhazik ya topnet, 3aychek 3al 5G fel sfax"
281.0,Taw 3andkom mchkla fel rseau gnral? 9oli
282.0,"Mrigul service technique, y7el 3liya mchklet l'app"
283.0,???? ?? ?????? ??????? ??? facture par email?
284.0,N7eb n3amel rsiliation w nbadal lel ooredoo
285.0,"Rani nchki 3al 3ardh mta3 1dt lel sms, ghali"
286.0,"Offre kima fel 9raya, 3ejbetni barcha"
287.0,"Khatemni l'offre ramdan mrigula, nchlh taw n3awed"
288.0,Appli ta7eli wa9t ma n7eb nchouf l'historique
289.0,"Rseau 4G+ fel laouina ytayyar, chbik?"
290.0,"Wallah 3aychek ya topnet, n7eb nkamel m3akom"
291.0,"Service client yraddou 3likom ba3d 3 minutes, mrigul"
292.0,"Code promo n7eb n3abbi ra9mi, win najm nal9ah?"
293.0,???? ?? ?????? ??????? service de voicemail amlior?
294.0,"Taw n7eb n3amel mise  jour de l'offre, site ta7"
295.0,"Mrigul wallah l'offre double data, nchallah dima"
296.0,Pourquoi le forfait data expir y5ali 3andi crdit normal?
297.0,"N7eb nchouf les dtails mta3 consommation, win?"
298.0,"Offre nhar l3aml b 5dt 15go, 3ejbetni"
299.0,"Rseau fel omrane suprieur zeda yhazik, 5edma behia"
300.0,"Yhazik ya topnet tounes, nchlh tzidou"
301.0,"Code *777# maykhdemch m3a l'offre jdida, 7alouha"
302.0,Rani nchki 3al facture zeda zidoulna 10dt 7seb ro7hom
303.0,Appli mrigula ama 3andha bug fel enregistrement
304.0,"Offre kima fel 3oudh 5edma mrigula, prix mrigul"
305.0,"N7eb n3amel reclamation 3ala rseau, win najm?"
306.0,"Khatemni service de support technique, raddou 3liya f 5 minutes"
307.0,Pourquoi la 5G n'est pas disponible dans toutes les rgions?
308.0,Taw 3andkom offre 3al modem 4G? n7eb nchri
309.0,"Mrigul wallah, 3aychek ya topnet tounes"
310.0,"Rseau fel bardo yekhdem mrigul, alhamdulillah"
311.0,"Code activation forfait maykhdemch 3la 9alil, jarabt"
312.0,"Yhazik service client, 7alouli mchklet l'app"
313.0,Offre taw b 30dt 100go? nchlh n3ayech behi
314.0,"Rani nchki 3al 4G fel nhar, vitesse 2mb/s"
315.0,"Appli taw t5rj w t7eb tsaker, n3ad n3amel restart"
316.0,"Wallah 3aychek ya topnet, ama rseau ta7 f lil"
317.0,Pourquoi les promotions ne sont pas valables pour les anciens?
318.0,"N7eb n3amel transfert de proprit, win nmchi?"
319.0,Code *101# yekhdem wala la? 3andi chk
320.0,"Mrigul service mrigul, merci ya topnet"
321.0,???? ?? ?????? ??????? code par SMS b sarii3a?
322.0,"Taw n7eb nchouf offre jdida lel famille, win?"
323.0,"Khatemni l'offre weekend b 10dt 30go, 3ejbetni"
324.0,"Rseau fel ariana ytayyar, chbik ya topnet"
325.0,"Yhazik support technique, 7alouli mchklet rseau"
326.0,"Offre ramdan b 15dt 50go, sara7a mrigula"
327.0,Rani nchki 3al appli mobile t9a3di tawa
328.0,"Wallah n7eb n5ales b carte lectronique, 5edma sarii3a"
329.0,Code *555# maykhdemch m3a l'offre taw
330.0,Pourquoi le service client ne rpond pas aux emails?
331.0,"N7eb n3amel chkaya 3ala facture, win najm?"
332.0,"Appli taw tzid tet3aml behia, merci 3likom"
333.0,"Rseau fel la marsa 4G mrigul, alhamdulillah"
334.0,"Offre kima fel 9raya b 8dt 20go, 3ejbetni"
335.0,???? ?? ?????? ????? ????? ??? MMS?
336.0,"N7eb n3amel recharge automatique, kifeh?"
337.0,"Khatemni service de livraison carte sim, merci"
338.0,Taw 3andkom offre 5G fel mnihla? n7eb njarab
339.0,"Rani nchki 3al 3ardh mta3 250 millime sms, ghali"
340.0,"Yhazik ya topnet, ama zid chwaya fel 7al"
341.0,Pourquoi les forfaits prepays n'ont pas le 5G?
342.0,"N7eb nchouf facture dtaille fel appli, win?"
343.0,"Offre nhar l3aml b 5dt 10go, 3ejbetni"
344.0,"Rseau fel centre ville yekhdem mrigul, alhamdulillah"
345.0,"Service client yraddou 3liya ba3d 2 minutes, mrigul"
346.0,"Code *999# maykhdemch, 7alouha ya topnet"
347.0,???? ?? ?????? ??????? ???? ??? eSIM?
348.0,"Taw n7eb n3amel 7keya mrigula 3al fibre, win?"
349.0,"Khatemni l'offre ramdan b 20dt 70go, 3ejbetni"
350.0,"Rani nchki 3al 4G fel lil, vitesse 1mb/s"
351.0,"Yhazik support, 7alouli mchklet l'appli"
352.0,Offre taw b 12dt 40go? nchlh n3ayech
353.0,Pourquoi le site web est toujours en maintenance?
354.0,"N7eb n3amel rsiliation w nrajja3 modem, kifeh?"
355.0,"Rseau fel mourouj 5G yekhdem mrigul, alhamdulillah"
356.0,"Appli ta7eli wa9t ma n7eb n3amel paiement, n3ad"
357.0,"Wallah n7eb n5ales b dop, ama ma y9ablouch"
358.0,"Offre kima fel 3oudh, 5edma mrigula"
359.0,"N7eb n3amel chkaya 3ala rseau, win najm?"
360.0,"Khatemni service client, raddou 3liya f 8 minutes"
361.0,Taw 3andkom offre 3al smartphone? n7eb nchri
362.0,Rani nchki 3al facture zeda zidoulna 5dt
363.0,"Code activation 5G maykhdemch, 7alouha"
364.0,Pourquoi les recharges par carte verte sont lentes?
365.0,"N7eb nchouf l'historique mta3 appels, win?"
366.0,"Offre weekend b 6dt 15go, 3ejbetni barcha"
367.0,"Mrigul service technique, y7el 3liya mchklet"
368.0,Appli mrigula ama 3andha bug fel login
369.0,Rseau fel tunis centre 4G+ yekhdem mrigul
370.0,Code *777# maykhdemch m3a offre jdida
371.0,???? ?? ?????? ????? ????? ??? ping? 150ms
372.0,"N7eb n3amel transfert de compte, win najm?"
373.0,"Khatemni l'offre b 10dt 30go, 3ejbetni"
374.0,"Rani nchki 3al 4G fel nhar, vitesse dha3fa"
375.0,"Yhazik service client, 7alouli mchklet facture"
376.0,Pourquoi l'application ne montre pas le solde exact?
377.0,N7eb n3amel reclamation 3ala vol de crdit
378.0,"Code *555# yekhdem 3la 9alil, ama marra ytayyar"
379.0,Rseau fel ariana 5G mazel mouch mrigul
380.0,"Appli taw tzid tet3aml behia, merci"
381.0,???? ?? ?????? ??????? ??? SMS b sarii3a?
382.0,"Khatemni service de support, raddou 3liya f 3 minutes"
383.0,Taw 3andkom offre 3al modem fibre? n7eb nchri
384.0,"Rani nchki 3al 3ardh mta3 1dt appel, ghali"
385.0,"Yhazik ya topnet, ama zid chwaya fel couverture"
386.0,Code *222# maykhdemch 3la Android 14
387.0,Pourquoi le roaming est cher par rapport aux autres?
388.0,N7eb nchouf offre jdida lel data illimit
389.0,"Offre nhar l3aml b 8dt 25go, 3ejbetni"
390.0,Appli ta7eli wa9t ma n7eb nchouf facture
391.0,"Rseau fel laouina 4G yekhdem mrigul, alhamdulillah"
392.0,"Service client yraddou 3liya ba3d 10 minutes, mrigul"
393.0,???? ?? ?????? ??????? ???? ??? VoLTE?
394.0,"Taw n7eb n3amel 7keya mrigula 3al 5G, win?"
395.0,"Khatemni l'offre ramdan b 15dt 50go, 3ejbetni"
396.0,"Rani nchki 3al 4G fel lil, vitesse 0.5mb/s"
397.0,Offre taw b 18dt 60go? nchlh n3ayech
398.0,Pourquoi le site mobile n'est pas optimis?
399.0,Code *101# yekhdem wala? 3andi chk
400.0,"Rseau fel bardo 5G yekhdem mrigul, alhamdulillah"
401.0,Appli mrigula ama taw tzid tet3aml behia
402.0,"Offre kima fel 9raya, 5edma mrigula"
403.0,???? ?? ?????? ??????? ??? facture par SMS?
404.0,N7eb n3amel chkaya 3ala lenteur rseau
405.0,"Khatemni service client, raddou 3liya f 6 minutes"
406.0,Rani nchki 3al facture zeda zidoulna 8dt
407.0,"Yhazik ya topnet, 3aychek 3al fibre optique"
408.0,"Code activation forfait maykhdemch, 7alouha"
409.0,Pourquoi les codes USSD sont lents?
410.0,N7eb nchouf dtail mta3 consommation fel appli
411.0,"Offre weekend b 12dt 35go, 3ejbetni barcha"
412.0,Appli mrigula ama 3andha bug fel paiement
413.0,Rseau fel centre ville 4G+ yekhdem mrigul
414.0,Code *777# maykhdemch m3a l'offre taw
415.0,???? ?? ?????? ????? ????? ??? DNS?
416.0,"Khatemni l'offre b 5dt 15go, 3ejbetni"
417.0,"Rani nchki 3al 4G fel nhar, vitesse dha3fa barcha"
418.0,"Yhazik service client, 7alouli mchklet l'appli"
419.0,"Merci ya Topnet tounes, nchlh dima mrigulin ??????"
420.0,"Service client zero, ma tjawbouch 3ala les messages ?????"
421.0,"Bricooo 3ala l'offre jdid, choukrann Topnet! ??"
422.0,Kifach n3ayet service client? L application mahich mla7.
423.0,"L internet sri3 barcha fi 3amayem, mli7! ??"
424.0,"3andekom 7ala mouchkla fel login, nahkiha."
425.0,"Mochkla fi l'application, crashi kif n7elha. Fix it please."
426.0,"Le meilleur operateur fi tounes, courage! ??"
427.0,Fatura kbir 3ala 9ad service. Chkoun ynajem y3awen?
428.0,"L'application tji mte3i msakra, chnoua lil?"
429.0,"Sahit les offres illimits, khdmtha hebta."
430.0,"Jawek behi, l debit mla7 nas. Continuez."
431.0,"C'est n'importe quoi, kat9atlou 3la l prix."
432.0,Bj ya3tik essa7 w jay nreja3lek l flous hedhom?
433.0,Globule intikom 3ala 5 ans fi tounes. ??
434.0,Ma najamtech na3mel recharge via l'application. Mouchkla technique?
435.0,"Mazrou3a l internet fi jem3a hedhi, chbikom? ??"
436.0,"A7la application operator, simple w pratique."
437.0,"Kahw w l internet courante, wa9teli nheb na3mel live?"
438.0,Nhib na3ref kifach nchouf historique mta3 consomation.
439.0,"Mli7 barcha l'offre mta3 10 dinars, merci."
440.0,Service client mawjoud 24/7? Walla ghadi n9oul 3likom?
441.0,"L'application crashi marra okhra, sna3ha! ??"
442.0,"Ma 3adech taba3hom, lconnexion ta7t sifer."
443.0,"Sbitar l equipe, merci 3ala l tajriba. ??"
444.0,"Vitesse fi borj louzir mouch mla7, chbikom?"
445.0,Najm ykoun application akther mli7 men hethi?
446.0,Merci Topnet 3ala l cadeau mta3 l anniversaire! ??
447.0,"Moush bahdha l internet fi biti, yelzem t7essnou."
448.0,Comment activer l'option 4G? Ma 3reftech kifach.
449.0,"Mlih barcha, 5idma mte3kom top."
